Latitude,Longitude,Serial Number,Impact Quantity,Project Type,Impact Unit,Binary Code
36.058580000000006,44.03899999999999,2024,28,Unknown Project Type,Unknown Impact Unit,01100000001011001101000100101010101110110110011110000000011111101000000000000000000000000000011100000100010000000000000000000000000000000000
36.058580000000006,44.03899999999999,2000,28,Unknown Project Type,Unknown Impact Unit,01100000001011001101000100101010101110110110011110000000011111010000000000000000000000000000011100000100010000000000000000000000000000000000
